PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0001704,MARRIOTT COURTYARD POOL,FA0001704,MARRIOTT COURTYARD POOL,4901 SPENARD RD,ANCHORAGE,AK,99517-3295,05A
FA0001705,DOWNTOWN SHELL  A & W,FA0001705,DOWNTOWN SHELL  A & W,901 E 15TH AVE,ANCHORAGE,AK,99501-5407,NULL
FA0001706,DOWNTOWN SHELL FOOD MART A & W,FA0001706,DOWNTOWN SHELL FOOD MART A & W,901 E 15TH AVE,ANCHORAGE,AK,99501-5407,02C
FA0001708,MOM & POPS,FA0001708,MOM & POPS,6307 DEBARR RD #D,ANCHORAGE,AK,99504-1783,NULL
FA0001710,L'AROMA BAKERY & DELI - RESTAURANT,FA0001710,L'AROMA BAKERY & DELI - RESTAURANT,900 W 13TH AVE,ANCHORAGE,AK,99501-4318,NULL
FA0001718,88TH ST PIZZA,FA0001718,88TH ST PIZZA,2300 E 88TH AVE,ANCHORAGE,AK,99507-3810,NULL
FA0001724,DOUBLE MUSKY INN,FA0001724,DOUBLE MUSKY INN,377 CROW CREEK RD,GIRDWOOD,AK,99587,61C
FA0001731,SOUPER BOWL,FA0001731,SOUPER BOWL,320 W 5TH AVE #420,ANCHORAGE,AK,99501-2345,01C
FA0001735,SHELL - EAGLE RIVER A & W,FA0001735,SHELL - EAGLE RIVER A & W,11301 OLD GLENN HWY,EAGLE RIVER,AK,99577-7728,52C
FA0001736,ARBY'S,FA0001736,ARBY'S,1135 MULDOON RD,ANCHORAGE,AK,99504-2035,04I
FA0001742,SIDE STREET ESPRESSO,FA0001742,SIDE STREET ESPRESSO,412 G ST,ANCHORAGE,AK,99501,01D
FA0001743,MCDONALD'S,FA0001743,MCDONALD'S,9100 LAKE OTIS PKWY,ANCHORAGE,AK,99507-3847,NULL
FA0001745,HOLIDAY STATIONSTORE #606,FA0001745,HOLIDAY STATIONSTORE #606,1501 ABBOTT RD,ANCHORAGE,AK,99507-3439,06C
FA0001747,HOLIDAY STATIONSTORE #606 SNACKBAR,FA0001747,HOLIDAY STATIONSTORE #606 SNACKBAR,1501 ABBOTT RD,ANCHORAGE,AK,99507-3439,NULL
FA0001748,MCCHEVRON - GROCERY,FA0001748,MCCHEVRON - GROCERY,9100 LAKE OTIS PKWY,ANCHORAGE,AK,99507-3847,06C
FA0001751,STARBUCKS-TICKET COUNTER,FA0001751,STARBUCKS-TICKET COUNTER,5000 W INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99502-1023,05A
FA0001753,HOLY SPIRIT CENTER,FA0001753,HOLY SPIRIT CENTER,10980 HILLSIDE DR,ANCHORAGE,AK,99507,NULL
FA0001755,SALVATION ARMY/CHUGIAK VIEW,FA0001755,SALVATION ARMY/CHUGIAK VIEW,1280 E 17TH AVE,ANCHORAGE,AK,99501-5660,NULL
FA0001762,PIZZA HUT #D5,FA0001762,PIZZA HUT #D5,118 E 6TH AVE,ANCHORAGE,AK,99501-2524,01C
FA0001765,GREAT HARVEST BREAD CO,FA0001765,GREAT HARVEST BREAD CO,570 E BENSON BLVD,ANCHORAGE,AK,99503-4156,08C
FA0001766,BOMBAY DELUXE,FA0001766,BOMBAY DELUXE,555 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2501,03B
FA0001768,DIMOND BURGER EXPRESS,FA0001768,DIMOND BURGER EXPRESS,800 E DIMOND BLVD 211,ANCHORAGE,AK,99515-2028,06A
FA0001770,Taco Bell #19282,FA0001770,Taco Bell #19282,939 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2408,03B
FA0001776,YAMAYA RESTAURANT,FA0001776,YAMAYA RESTAURANT,825 W 6TH AVE,ANCHORAGE,AK,99501-2021,01C
FA0001777,TIO'S GYROS - S,FA0001777,TIO'S GYROS - S,4TH AND E SPOT #4,ANCHORAGE,AK,MOBILE,01D
FA0001783,"AIE, INC.",FA0001783,"AIE, INC.",306 G ST,ANCHORAGE,AK,99501,01D
FA0001792,MIDDLE WAY CAFE,FA0001792,MIDDLE WAY CAFE,1200 W NORTHERN LIGHTS BLVD G,ANCHORAGE,AK,99503-3652,03B
FA0001799,ALASKAN POLAR BEAR CUB - S,FA0001799,ALASKAN POLAR BEAR CUB - S,1419 MEDFRA,ANCHORAGE,AK,99501,02C
FA0001800,SUBWAY OF ALASKA #19605,FA0001800,SUBWAY OF ALASKA #19605,701 NORTHWAY DR,ANCHORAGE,AK,99508-2030,05A
FA0001801,Outback Steakhouse Restaurant,FA0001801,Outback Steakhouse Restaurant,101 W 34TH AVE,ANCHORAGE,AK,99503-3945,08C
FA0001802,OUTBACK STEAKHOUSE - BAR,FA0001802,OUTBACK STEAKHOUSE - BAR,101 W 34TH AVE,ANCHORAGE,AK,99503-3945,08C
FA0001805,SALVATION ARMY - SERENDIPITY,FA0001805,SALVATION ARMY - SERENDIPITY,3550 E 20TH AVE,ANCHORAGE,AK,99508-3414,02F
FA0001807,MARRIOTT COURTYARD HOTEL - SPA,FA0001807,MARRIOTT COURTYARD HOTEL - SPA,4901 SPENARD RD,ANCHORAGE,AK,99517-3295,05A
FA0001808,NEW SAGAYA CITY MARKET - MEAT,FA0001808,NEW SAGAYA CITY MARKET - MEAT,900 W 13TH AVE,ANCHORAGE,AK,99501-4318,02B
FA0001809,NEW SAGAYA CITY MARKET - FISH,FA0001809,NEW SAGAYA CITY MARKET - FISH,900 W 13TH AVE,ANCHORAGE,AK,99501-4318,02B
FA0001818,FRED MEYER - STARBUCKS,FA0001818,FRED MEYER - STARBUCKS,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001824,HOLIDAY STATIONSTORE #602,FA0001824,HOLIDAY STATIONSTORE #602,10630 OLD SEWARD HWY,ANCHORAGE,AK,99515-2631,06F
FA0001825,HOLIDAY STATIONSTORE #602 DELI,FA0001825,HOLIDAY STATIONSTORE #602 DELI,10630 OLD SEWARD HWY,ANCHORAGE,AK,99515-2631,06F
FA0001827,HOLIDAY STATIONSTORE #637,FA0001827,HOLIDAY STATIONSTORE #637,5501 DEBARR RD,ANCHORAGE,AK,99504-2301,04G
FA0001828,HOLIDAY STATIONSTORE #637 SNACKBAR,FA0001828,HOLIDAY STATIONSTORE #637 SNACKBAR,5501 DEBARR RD,ANCHORAGE,AK,99504-2301,04G
FA0001832,HOLIDAY STATION STORE #638,FA0001832,HOLIDAY STATION STORE #638,3500 C ST,ANCHORAGE,AK,99503-3924,08C
FA0001833,HOLIDAY STATIONSTORE #638 DELI,FA0001833,HOLIDAY STATIONSTORE #638 DELI,3500 C ST,ANCHORAGE,AK,99503-3924,08C
FA0001836,ANCHORAGE MICROTEL POOL,FA0001836,ANCHORAGE MICROTEL POOL,5205 NORTHWOOD DR,ANCHORAGE,AK,99517-3147,NULL
FA0001837,SPRINGHILL SUITES - POOL,FA0001837,SPRINGHILL SUITES - POOL,3401 A ST,ANCHORAGE,AK,99503-4012,08C
FA0001838,SPRINGHILL SUITES-SPA/HOT TUB,FA0001838,SPRINGHILL SUITES-SPA/HOT TUB,3401 A ST,ANCHORAGE,AK,99503-4012,08C
FA0001841,ST. CHRISTOPHERS CHURCH PANTRY,FA0001841,ST. CHRISTOPHERS CHURCH PANTRY,7208 DUBEN AVE,ANCHORAGE,AK,99504-1321,04H
FA0001843,NORTHERN LIGHTS ABC SCHOOL,FA0001843,NORTHERN LIGHTS ABC SCHOOL,2424 E DOWLING RD,ANCHORAGE,AK,99507-1972,NULL
FA0001847,QUALITY SUITES HOTEL - SPA,FA0001847,QUALITY SUITES HOTEL - SPA,325 W 8TH AVE,ANCHORAGE,AK,99501-3541,01C
FA0001849,TESORO NORTHSTORE #071,FA0001849,TESORO NORTHSTORE #071,1940 ABBOTT RD,ANCHORAGE,AK,99507-3447,NULL
FA0001852,DOWNTOWN CHEVRON - SNACK BAR,FA0001852,DOWNTOWN CHEVRON - SNACK BAR,832 E 6TH AVE,ANCHORAGE,AK,99501-2745,02B
FA0001855,TESORO NORTHSTORE #071,FA0001855,TESORO NORTHSTORE #071,1940 ABBOTT RD,ANCHORAGE,AK,99507-3447,NULL
FA0001859,HORIZON CAFE',FA0001859,HORIZON CAFE',701 W 8TH AVE #500,ANCHORAGE,AK,99501,01C
FA0001872,SHELL - EAGLE RIVER A & W,FA0001872,SHELL - EAGLE RIVER A & W,11301 OLD GLENN HWY,EAGLE RIVER,AK,99577-7728,52C
FA0001874,QUALITY SUITES - POOL,FA0001874,QUALITY SUITES - POOL,325 W 8TH AVE,ANCHORAGE,AK,99501-3541,01C
FA0001875,QUALITY SUITES- CHOICE PICKS,FA0001875,QUALITY SUITES- CHOICE PICKS,325 W 8TH AVE,ANCHORAGE,AK,99501-3541,01C
FA0001876,AFC SUSHI @ FRED MEYER #71,FA0001876,AFC SUSHI @ FRED MEYER #71,2000 W DIMOND BLVD,ANCHORAGE,AK,99515-1469,NULL
FA0001883,Springhill Suites-Anchorage,FA0001883,Springhill Suites-Anchorage,3401 A ST,ANCHORAGE,AK,99503-4012,08C
FA0001885,LA CABANA BAR,FA0001885,LA CABANA BAR,312 E 4TH AVE,ANCHORAGE,AK,99501-2609,01C
FA0001893,Subway of Alaska #19936,FA0001893,Subway of Alaska #19936,8900 LAKE OTIS PKWY,ANCHORAGE,AK,99507-3843,06A
FA0001894,ESSENTIAL 1 POWER STOP,FA0001894,ESSENTIAL 1 POWER STOP,MI 101 SEWARD HWY,GIRDWOOD,AK,99587,NULL
FA0001898,BERNIE'S BUNGALOW LOUNGE,FA0001898,BERNIE'S BUNGALOW LOUNGE,626 D ST,ANCHORAGE,AK,99501-3522,01C
FA0001902,VILLA PIZZA,FA0001902,VILLA PIZZA,320 W 5TH AVE #416,ANCHORAGE,AK,99501-2345,01C
FA0001908,SUGAR SHACK ESPRESSO 1,FA0001908,SUGAR SHACK ESPRESSO 1,3720 LAKE OTIS PKWY,ANCHORAGE,AK,99507,NULL
FA0001911,"MOTHER LAWRENCE FOUNDATION,THE",FA0001911,"MOTHER LAWRENCE FOUNDATION,THE",3609 RICHMOND AVE,ANCHORAGE,AK,99508-1134,01A
FA0001912,AFC SUSHI @ FRED MEYER #11,FA0001912,AFC SUSHI @ FRED MEYER #11,1000 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4218,02D
FA0001915,NORTHERN LIGHTS ESPRESSO CAFE,FA0001915,NORTHERN LIGHTS ESPRESSO CAFE,515 E TUDOR RD,ANCHORAGE,AK,99503-7320,08B
FA0001918,Sullivan's Steakhouse of Anchorage - BAR,FA0001918,Sullivan's Steakhouse of Anchorage - BAR,320 W 5TH AVE,ANCHORAGE,AK,99501-2345,01C
FA0001919,RAINBOW VIDEO & ORIENTAL STORE,FA0001919,RAINBOW VIDEO & ORIENTAL STORE,715 W FIREWEED LN D,ANCHORAGE,AK,99503-1900,02A
FA0001923,COSTCO WHOLESALE #63 - PROCESSOR,FA0001923,COSTCO WHOLESALE #63 - PROCESSOR,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,02F
FA0001924,COSTCO WHOLESALE - PROCESSOR,FA0001924,COSTCO WHOLESALE - PROCESSOR,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,07H
FA0001937,Century Theatre,FA0001937,Century Theatre,301 E 36TH AVE,ANCHORAGE,AK,99503-5918,08C
FA0001941,JITTERS - WHERE COFFEE IS AN ART,FA0001941,JITTERS - WHERE COFFEE IS AN ART,11401 OLD GLENN HWY,EAGLE RIVER,AK,99577-7747,52C
FA0001955,Taco Bell #19953,FA0001955,Taco Bell #19953,8825 OLD SEWARD HWY,ANCHORAGE,AK,99515-2021,06A
FA0001961,SAPPORE COFFEE,FA0001961,SAPPORE COFFEE,1600 GAMBELL ST,ANCHORAGE,AK,99501-5323,02C
FA0001964,PORTAGE GLACIER CRUISES GIFTS - S,FA0001964,PORTAGE GLACIER CRUISES GIFTS - S,PORTAGE LAKE,GIRDWOOD,AK,99587,NULL
FA0001970,MARRIOTT - RESIDENCE INN,FA0001970,MARRIOTT - RESIDENCE INN,1025 EAST 35TH AVE,ANCHORAGE,AK,99508-4200,08C
FA0001971,MARRIOTT - RESIDENCE INN,FA0001971,MARRIOTT - RESIDENCE INN,1025 EAST 35TH AVE,ANCHORAGE,AK,99508-4200,08C
FA0001972,Carl's Jr Restaurant,FA0001972,Carl's Jr Restaurant,1137Huffman Rd,ANCHORAGE,AK,99515-3521,07E
FA0001976,KENDO'S SOUP AND PASTA,FA0001976,KENDO'S SOUP AND PASTA,349 SHIP CREEK AVE,ANCHORAGE,AK,99501-1604,01E
FA0001980,ANCHORAGE MARRIOTT DOWNTOWN - BAR,FA0001980,ANCHORAGE MARRIOTT DOWNTOWN - BAR,820 W 7TH AVE,ANCHORAGE,AK,99501-3407,01C
FA0001981,ANCHORAGE MARRIOTT DOWNTOWN,FA0001981,ANCHORAGE MARRIOTT DOWNTOWN,820 W 7TH AVE,ANCHORAGE,AK,99501-3407,01C
FA0001982,ANCHORAGE MARRIOTT DOWNTOWN - POOL,FA0001982,ANCHORAGE MARRIOTT DOWNTOWN - POOL,828 WEST 7TH AVE,ANCHORAGE,AK,99501-3407,01C
FA0001983,ANCHORAGE MARRIOTT DOWNTOWN - SPA,FA0001983,ANCHORAGE MARRIOTT DOWNTOWN - SPA,828 WEST 7TH AVE,ANCHORAGE,AK,99501-3407,01C
FA0001990,ANCHORAGE HOTEL - CONT BREAKFAST,FA0001990,ANCHORAGE HOTEL - CONT BREAKFAST,330 E ST,ANCHORAGE,AK,99501-2307,01E
FA0001996,Benihana Restaurant,FA0001996,Benihana Restaurant,1100 W 8TH AVE,ANCHORAGE,AK,99501-3350,01C
FA0001997,CLARION SUITES,FA0001997,CLARION SUITES,1110 W 8TH AVE,ANCHORAGE,AK,99501-3350,01C
FA0001998,CLARION SUITES - POOL,FA0001998,CLARION SUITES - POOL,1110 WEST 8TH AVE,ANCHORAGE,AK,99501-3350,01C
FA0002001,BENIHANA RESTAURANT - BAR,FA0002001,BENIHANA RESTAURANT - BAR,1100 W 8TH AVE,ANCHORAGE,AK,99501-3350,01C
FA0002002,CLARION SUITES - SPA,FA0002002,CLARION SUITES - SPA,1110 W 8TH AVE,ANCHORAGE,AK,99501-3350,01C
FA0002004,Comfort Inn,FA0002004,Comfort Inn,111 W SHIP CREEK AVE,ANCHORAGE,AK,99501-1670,01E
FA0002012,EDDIE'S SPORTS BAR,FA0002012,EDDIE'S SPORTS BAR,6300 OLD SEWARD HWY,ANCHORAGE,AK,99518-1807,04A
FA0002020,Organic  Oasis Health Foods,FA0002020,Organic  Oasis Health Foods,2610 Spenard Rd,ANCHORAGE,AK,99503-2309,03B
FA0002021,TODAY SPECIAL CAFE BY METROASIS,FA0002021,TODAY SPECIAL CAFE BY METROASIS,401 W INTERNATIONAL AIRPORT RD 1B,ANCHORAGE,AK,99518-1112,08A
FA0002023,I LUV SUSHI,FA0002023,I LUV SUSHI,9220 LAKE OTIS PKWY,ANCHORAGE,AK,99507-4249,06C
FA0002027,Holiday Inn Express,FA0002027,Holiday Inn Express,4411 SPENARD RD,ANCHORAGE,AK,99517-2912,03C
FA0002032,HOLIDAY INN EXPRESS - SPA,FA0002032,HOLIDAY INN EXPRESS - SPA,4411 SPENARD RD,ANCHORAGE,AK,99517-2912,03C
FA0002049,FRED MEYER 00656 - BAKERY,FA0002049,FRED MEYER 00656 - BAKERY,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002050,FRED MEYER 00656 - DELI,FA0002050,FRED MEYER 00656 - DELI,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002051,FRED MEYER - RETAIL STORE,FA0002051,FRED MEYER - RETAIL STORE,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002052,FRED MEYER 00656 - RETAIL FISH,FA0002052,FRED MEYER 00656 - RETAIL FISH,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002053,FRED MEYER 00656 - RETAIL MEAT,FA0002053,FRED MEYER 00656 - RETAIL MEAT,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002054,AFC SUSHI @ FRED MEYER 00656,FA0002054,AFC SUSHI @ FRED MEYER 00656,2300 ABBOTT RD,ANCHORAGE,AK,99507-4456,06C
FA0002094,APA GROCERIES,FA0002094,APA GROCERIES,300 W 36TH AVE 15,ANCHORAGE,AK,99503-5816,08C
FA0002095,BEAN & BAGEL,FA0002095,BEAN & BAGEL,1000 O'MALLEY RD,ANCHORAGE,AK,99515-3083,06F
FA0002100,SUBWAY OF ALASKA #10986,FA0002100,SUBWAY OF ALASKA #10986,6110 OLD SEWARD HWY,ANCHORAGE,AK,99502,04A
FA0002107,MINNESOTA BILLIARDS,FA0002107,MINNESOTA BILLIARDS,3020 MINNESOTA DR 3,ANCHORAGE,AK,99503-3674,03B
FA0002108,SWEET BASIL CAFE,FA0002108,SWEET BASIL CAFE,1021 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-2409,03B
FA0002113,JAVA JUNCTION LLC,FA0002113,JAVA JUNCTION LLC,7003 OLD SEWARD HWY,ANCHORAGE,AK,99502,06B
FA0002122,UAA - CUDDY CENTER,FA0002122,UAA - CUDDY CENTER,3400 SEAWOLF DR,ANCHORAGE,AK,99508,02A
FA0002124,UAA - SWIMMING POOL,FA0002124,UAA - SWIMMING POOL,3211 PROVIDENCE DR,ANCHORAGE,AK,99508-4614,02A
FA0002125,SUBWAY OF ALASKA #17981,FA0002125,SUBWAY OF ALASKA #17981,2801 SPIRIT WY,ANCHORAGE,AK,99508,02A
FA0002129,UAA - CREEKSIDE COMMONS,FA0002129,UAA - CREEKSIDE COMMONS,3700 SHARON GAGNON LN,ANCHORAGE,AK,99508-4656,04B
