PermitNo,ContactID,ContactTypeCode,ProductType,ContactPriority,DateCreated
FA0000161,167,MAILING,FOG,1,2015-03-20 08:09:50.313
FA0000162,168,MAILING,FOG,1,2015-03-20 08:09:50.320
FA0000167,169,MAILING,FOG,1,2015-03-20 08:09:50.323
FA0000168,170,MAILING,FOG,1,2015-03-20 08:09:50.327
FA0000169,171,MAILING,FOG,1,2015-03-20 08:09:50.330
FA0000171,172,MAILING,FOG,1,2015-03-20 08:09:50.333
FA0000172,173,MAILING,FOG,1,2015-03-20 08:09:50.340
FA0000173,174,MAILING,FOG,1,2015-03-20 08:09:50.343
FA0000174,175,MAILING,FOG,1,2015-03-20 08:09:50.350
FA0000176,176,MAILING,FOG,1,2015-03-20 08:09:50.353
FA0000178,177,MAILING,FOG,1,2015-03-20 08:09:50.370
FA0000182,178,MAILING,FOG,1,2015-03-20 08:09:50.383
FA0000185,179,MAILING,FOG,1,2015-03-20 08:09:50.400
FA0000186,180,MAILING,FOG,1,2015-03-20 08:09:50.413
FA0000187,181,MAILING,FOG,1,2015-03-20 08:09:50.417
FA0000188,182,MAILING,FOG,1,2015-03-20 08:09:50.420
FA0000192,183,MAILING,FOG,1,2015-03-20 08:09:50.427
FA0000194,184,MAILING,FOG,1,2015-03-20 08:09:50.430
FA0000195,185,MAILING,FOG,1,2015-03-20 08:09:50.437
FA0000203,186,MAILING,FOG,1,2015-03-20 08:09:50.440
FA0000205,187,MAILING,FOG,1,2015-03-20 08:09:50.447
FA0000206,188,MAILING,FOG,1,2015-03-20 08:09:50.450
FA0000207,189,MAILING,FOG,1,2015-03-20 08:09:50.457
FA0000210,191,MAILING,FOG,1,2015-03-20 08:09:50.480
FA0000211,192,MAILING,FOG,1,2015-03-20 08:09:50.487
FA0000220,193,MAILING,FOG,1,2015-03-20 08:09:50.490
FA0000223,194,MAILING,FOG,1,2015-03-20 08:09:50.497
FA0000225,195,MAILING,FOG,1,2015-03-20 08:09:50.503
FA0000227,196,MAILING,FOG,1,2015-03-20 08:09:50.507
FA0000228,197,MAILING,FOG,1,2015-03-20 08:09:50.513
FA0000229,198,MAILING,FOG,1,2015-03-20 08:09:50.517
FA0000235,202,MAILING,FOG,1,2015-03-20 08:09:50.537
FA0000236,203,MAILING,FOG,1,2015-03-20 08:09:50.540
FA0000237,204,MAILING,FOG,1,2015-03-20 08:09:50.543
FA0000238,205,MAILING,FOG,1,2015-03-20 08:09:50.550
FA0000240,206,MAILING,FOG,1,2015-03-20 08:09:50.553
FA0000245,207,MAILING,FOG,1,2015-03-20 08:09:50.573
FA0000250,208,Director,FOG,1,2015-03-20 08:09:50.587
FA0000252,209,MAILING,FOG,1,2015-03-20 08:09:50.593
FA0000254,210,MAILING,FOG,1,2015-03-20 08:09:50.600
FA0000255,211,MAILING,FOG,1,2015-03-20 08:09:50.603
FA0000257,212,MAILING,FOG,2,2015-03-20 08:09:50.610
FA0000258,213,MAILING,FOG,1,2015-03-20 08:09:50.613
FA0000259,214,Restaurant Manager,FOG,1,2015-03-20 08:09:50.620
FA0000260,215,MAILING,FOG,1,2015-03-20 08:09:50.623
FA0000261,216,MAILING,FOG,1,2015-03-20 08:09:50.630
FA0000262,217,MAILING,FOG,1,2015-03-20 08:09:50.633
FA0000269,218,MAILING,FOG,1,2015-03-20 08:09:50.650
FA0000271,219,MAILING,FOG,1,2015-03-20 08:09:50.683
FA0000272,220,MAILING,FOG,1,2015-03-20 08:09:50.690
FA0000279,223,MAILING,FOG,1,2015-03-20 08:09:50.707
FA0000280,224,MAILING,FOG,1,2015-03-20 08:09:50.710
FA0000284,225,MAILING,FOG,1,2015-03-20 08:09:50.723
FA0000286,226,MAILING,FOG,1,2015-03-20 08:09:50.747
FA0000293,227,MAILING,FOG,1,2015-03-20 08:09:50.753
FA0000294,228,MAILING,FOG,1,2015-03-20 08:09:50.760
FA0000295,229,MAILING,FOG,1,2015-03-20 08:09:50.773
FA0000300,231,MAILING,FOG,1,2015-03-20 08:09:50.783
FA0000303,232,MAILING,FOG,1,2015-03-20 08:09:50.793
FA0000307,234,MAILING,FOG,1,2015-03-20 08:09:50.800
FA0000309,235,MAILING,FOG,1,2015-03-20 08:09:50.803
FA0000311,236,MAILING,FOG,1,2015-03-20 08:09:50.810
FA0000312,237,MAILING,FOG,1,2015-03-20 08:09:50.813
FA0000322,239,MAILING,FOG,1,2015-03-20 08:09:50.820
FA0000323,240,MAILING,FOG,1,2015-03-20 08:09:50.823
FA0000326,241,MAILING,FOG,1,2015-03-20 08:09:50.830
FA0000327,242,F_OWNER,FOG,1,2015-03-20 08:09:50.833
FA0000330,243,MAILING,FOG,1,2015-03-20 08:09:50.837
FA0000338,245,OWNER,FOG,1,2015-03-20 08:09:50.843
FA0000339,246,MAILING,FOG,1,2015-03-20 08:09:50.850
FA0000343,248,MAILING,FOG,1,2015-03-20 08:09:50.857
FA0000346,250,MAILING,FOG,1,2015-03-20 08:09:50.883
FA0000350,251,MAILING,FOG,1,2015-03-20 08:09:50.937
FA0000351,252,MAILING,FOG,1,2015-03-20 08:09:50.940
FA0000357,256,MAILING,FOG,1,2015-03-20 08:09:50.987
FA0000358,257,MAILING,FOG,1,2015-03-20 08:09:50.990
FA0000359,258,MAILING,FOG,1,2015-03-20 08:09:50.993
FA0000364,260,MAILING,FOG,1,2015-03-20 08:09:51.003
FA0000366,261,MAILING,FOG,1,2015-03-20 08:09:51.013
FA0000368,262,MAILING,FOG,1,2015-03-20 08:09:51.017
FA0000369,263,MAILING,FOG,1,2015-03-20 08:09:51.020
FA0000370,264,MAILING,FOG,1,2015-03-20 08:09:51.027
FA0000374,266,MAILING,FOG,1,2015-03-20 08:09:51.033
FA0000377,268,MAILING,FOG,1,2015-03-20 08:09:51.050
FA0000378,269,MAILING,FOG,1,2015-03-20 08:09:51.053
FA0000380,270,MAILING,FOG,1,2015-03-20 08:09:51.057
FA0000381,271,MAILING,FOG,1,2015-03-20 08:09:51.063
FA0000386,274,MAILING,FOG,1,2015-03-20 08:09:51.103
FA0000387,275,MAILING,FOG,1,2015-03-20 08:09:51.110
FA0000388,276,MAILING,FOG,1,2015-03-20 08:09:51.123
FA0000389,277,MAILING,FOG,1,2015-03-20 08:09:51.130
FA0000390,278,MAILING,FOG,1,2015-03-20 08:09:51.137
FA0000391,279,MAILING,FOG,1,2015-03-20 08:09:51.140
FA0000393,280,MAILING,FOG,1,2015-03-20 08:09:51.143
FA0000396,281,MAILING,FOG,1,2015-03-20 08:09:51.147
FA0000397,282,MAILING,FOG,1,2015-03-20 08:09:51.153
FA0000405,286,MAILING,FOG,1,2015-03-20 08:09:51.190
FA0000407,287,MAILING,FOG,1,2015-03-20 08:09:51.197
FA0000408,288,MAILING,FOG,1,2015-03-20 08:09:51.213
FA0000409,289,MAILING,FOG,1,2015-03-20 08:09:51.237
FA0000410,290,MAILING,FOG,1,2015-03-20 08:09:51.240
FA0000413,291,MAILING,FOG,1,2015-03-20 08:09:51.247
FA0000414,292,MAILING,FOG,1,2015-03-20 08:09:51.253
FA0000417,294,MAILING,FOG,1,2015-03-20 08:09:51.263
FA0000421,295,MAILING,FOG,1,2015-03-20 08:09:51.280
FA0000422,296,MAILING,FOG,1,2015-03-20 08:09:51.287
FA0000424,297,MAILING,FOG,1,2015-03-20 08:09:51.290
FA0000426,298,OWNER,FOG,1,2015-03-20 08:09:51.293
FA0000428,300,MAILING,FOG,1,2015-03-20 08:09:51.303
FA0000430,301,MAILING,FOG,1,2015-03-20 08:09:51.307
FA0000433,303,MAILING,FOG,1,2015-03-20 08:09:51.313
FA0000434,304,MAILING,FOG,1,2015-03-20 08:09:51.320
FA0000437,305,MAILING,FOG,1,2015-03-20 08:09:51.323
FA0000442,306,MAILING,FOG,1,2015-03-20 08:09:51.327
FA0000443,307,MAILING,FOG,1,2015-03-20 08:09:51.330
FA0000445,308,MAILING,FOG,1,2015-03-20 08:09:51.337
FA0000449,309,MAILING,FOG,1,2015-03-20 08:09:51.340
FA0000452,311,MAILING,FOG,1,2015-03-20 08:09:51.347
FA0000456,313,MAILING,FOG,1,2015-03-20 08:09:51.357
FA0000457,314,MAILING,FOG,1,2015-03-20 08:09:51.360
FA0000459,315,MAILING,FOG,1,2015-03-20 08:09:51.363
FA0000461,317,MAILING,FOG,1,2015-03-20 08:09:51.390
FA0000464,318,MAILING,FOG,1,2015-03-20 08:09:51.393
FA0000468,319,MAILING,FOG,2,2015-03-20 08:09:51.400
FA0000472,320,MAILING,FOG,1,2015-03-20 08:09:51.407
FA0000473,321,MAILING,FOG,1,2015-03-20 08:09:51.410
FA0000474,322,MAILING,FOG,1,2015-03-20 08:09:51.420
FA0000475,323,MAILING,FOG,1,2015-03-20 08:09:51.433
FA0000477,324,MAILING,FOG,1,2015-03-20 08:09:51.447
FOG102017,324,MAILING,FOG,1,2018-12-04 17:58:26.400
FA0000483,326,MAILING,FOG,1,2015-03-20 08:09:51.457
FA0000484,327,MAILING,FOG,1,2015-03-20 08:09:51.460
FA0000486,328,MAILING,FOG,1,2015-03-20 08:09:51.463
FA0000488,329,MAILING,FOG,1,2015-03-20 08:09:51.477
FA0000489,330,MAILING,FOG,1,2015-03-20 08:09:51.490
FA0000490,331,MAILING,FOG,1,2015-03-20 08:09:51.493
FA0000491,332,MAILING,FOG,1,2015-03-20 08:09:51.500
FA0000496,333,MAILING,FOG,1,2015-03-20 08:09:51.503
FA0000498,335,MAILING,FOG,1,2015-03-20 08:09:51.517
FA0000500,336,MAILING,FOG,1,2015-03-20 08:09:51.523
FA0000501,337,MAILING,FOG,1,2015-03-20 08:09:51.527
FA0000507,338,MAILING,FOG,1,2015-03-20 08:09:51.530
FA0000509,340,MAILING,FOG,1,2015-03-20 08:09:51.540
FA0000510,341,MAILING,FOG,1,2015-03-20 08:09:51.543
FA0000511,342,MAILING,FOG,1,2015-03-20 08:09:51.550
FA0000512,343,MAILING,FOG,1,2015-03-20 08:09:51.553
FA0000513,344,MAILING,FOG,1,2015-03-20 08:09:51.557
FA0000515,345,MAILING,FOG,1,2015-03-20 08:09:51.560
FA0000518,346,MAILING,FOG,1,2015-03-20 08:09:51.567
FA0000522,348,MAILING,FOG,1,2015-03-20 08:09:51.590
FA0000524,349,MAILING,FOG,1,2015-03-20 08:09:51.593
FA0000527,350,MAILING,FOG,1,2015-03-20 08:09:51.597
FA0000528,351,MAILING,FOG,1,2015-03-20 08:09:51.607
FA0000533,353,MAILING,FOG,1,2015-03-20 08:09:51.630
FA0000535,354,MAILING,FOG,1,2015-03-20 08:09:51.633
FA0000536,355,MAILING,FOG,1,2015-03-20 08:09:51.640
FA0000543,357,MAILING,FOG,1,2015-03-20 08:09:51.650
FA0000546,359,MAILING,FOG,1,2015-03-20 08:09:51.657
FA0000549,360,MAILING,FOG,1,2015-03-20 08:09:51.663
FA0000551,361,MAILING,FOG,1,2015-03-20 08:09:51.667
FA0000552,362,MAILING,FOG,1,2015-03-20 08:09:51.670
FA0000554,363,MAILING,FOG,1,2015-03-20 08:09:51.697
FA0000555,364,MAILING,FOG,1,2015-03-20 08:09:51.717
FA0000557,365,MAILING,FOG,1,2015-03-20 08:09:51.723
FA0000558,366,MAILING,FOG,1,2015-03-20 08:09:51.727
FA0000560,367,MAILING,FOG,1,2015-03-20 08:09:51.730
FA0000561,368,MAILING,FOG,1,2015-03-20 08:09:51.737
FA0000567,371,MAILING,FOG,1,2015-03-20 08:09:51.750
FA0000575,373,MAILING,FOG,1,2015-03-20 08:09:51.797
FA0012625,374,MAILING,FOG,1,2015-03-20 08:09:51.803
FA0000582,375,MAILING,FOG,1,2015-03-20 08:09:51.807
FA0000584,376,MAILING,FOG,1,2015-03-20 08:09:51.810
FA0000586,377,MAILING,FOG,1,2015-03-20 08:09:51.817
FA0000588,378,MAILING,FOG,1,2015-03-20 08:09:51.820
FA0000589,379,MAILING,FOG,1,2015-03-20 08:09:51.823
FA0000590,380,MAILING,FOG,1,2015-03-20 08:09:51.830
FA0000591,381,MAILING,FOG,1,2015-03-20 08:09:51.833
FA0000592,382,MAILING,FOG,1,2015-03-20 08:09:51.837
FA0000593,383,MAILING,FOG,1,2015-03-20 08:09:51.840
FA0000595,385,MAILING,FOG,1,2015-03-20 08:09:51.850
FA0000598,386,MAILING,FOG,1,2015-03-20 08:09:51.857
FA0000599,387,MAILING,FOG,1,2015-03-20 08:09:51.860
FA0000600,388,MAILING,FOG,1,2015-03-20 08:09:51.863
FA0000605,391,MAILING,FOG,1,2015-03-20 08:09:51.920
FA0000607,392,MAILING,FOG,1,2015-03-20 08:09:51.967
FA0000612,393,MAILING,FOG,1,2015-03-20 08:09:51.973
FA0000615,394,MAILING,FOG,1,2015-03-20 08:09:52.000
FA0000616,395,MAILING,FOG,1,2015-03-20 08:09:52.003
FA0000621,396,MAILING,FOG,1,2015-03-20 08:09:52.010
FA0000626,397,MAILING,FOG,1,2015-03-20 08:09:52.013
FA0000627,398,MAILING,FOG,1,2015-03-20 08:09:52.020
FA0000628,399,MAILING,FOG,1,2015-03-20 08:09:52.027
FA0000632,400,MAILING,FOG,1,2015-03-20 08:09:52.030
FA0000636,401,MAILING,FOG,1,2015-03-20 08:09:52.037
FA0000637,402,MAILING,FOG,1,2015-03-20 08:09:52.040
FA0000639,403,MAILING,FOG,1,2015-03-20 08:09:52.043
FA0000641,404,MAILING,FOG,1,2015-03-20 08:09:52.050
FA0000642,405,MAILING,FOG,1,2015-03-20 08:09:52.053
FA0000643,406,MAILING,FOG,1,2015-03-20 08:09:52.057
FA0000644,407,MAILING,FOG,1,2015-03-20 08:09:52.070
FA0000647,408,MAILING,FOG,1,2015-03-20 08:09:52.073
FA0000648,409,MAILING,FOG,1,2015-03-20 08:09:52.093
FA0000649,410,MAILING,FOG,1,2015-03-20 08:09:52.097
FA0000650,411,MAILING,FOG,1,2015-03-20 08:09:52.100
FA0000651,412,MAILING,FOG,1,2015-03-20 08:09:52.107
FA0000652,413,MAILING,FOG,1,2015-03-20 08:09:52.117
FA0000653,414,MAILING,FOG,1,2015-03-20 08:09:52.120
FA0000654,415,MAILING,FOG,1,2015-03-20 08:09:52.127
FA0000655,416,MAILING,FOG,1,2015-03-20 08:09:52.133
FA0000656,417,MAILING,FOG,1,2015-03-20 08:09:52.147
FA0000657,418,MAILING,FOG,1,2015-03-20 08:09:52.150
FA0000659,419,MAILING,FOG,1,2015-03-20 08:09:52.157
FA0000660,420,MAILING,FOG,1,2015-03-20 08:09:52.160
FA0000661,421,MAILING,FOG,1,2015-03-20 08:09:52.163
FA0000664,422,MAILING,FOG,1,2015-03-20 08:09:52.173
FA0000665,423,MAILING,FOG,1,2015-03-20 08:09:52.197
FA0000667,424,MAILING,FOG,1,2015-03-20 08:09:52.200
FA0000668,425,MAILING,FOG,1,2015-03-20 08:09:52.207
FA0000669,426,MAILING,FOG,1,2015-03-20 08:09:52.210
FA0000671,427,MAILING,FOG,1,2015-03-20 08:09:52.213
FA0000678,428,MAILING,FOG,1,2015-03-20 08:09:52.220
FA0000679,429,MAILING,FOG,1,2015-03-20 08:09:52.223
FA0000683,430,MAILING,FOG,1,2015-03-20 08:09:52.230
FA0000684,431,MAILING,FOG,1,2015-03-20 08:09:52.237
FA0000685,432,MAILING,FOG,1,2015-03-20 08:09:52.240
FA0000686,433,MAILING,FOG,1,2015-03-20 08:09:52.250
FA0000695,434,MAILING,FOG,1,2015-03-20 08:09:52.260
FA0000696,435,MAILING,FOG,1,2015-03-20 08:09:52.263
FA0000698,436,MAILING,FOG,1,2015-03-20 08:09:52.270
FA0000700,437,MAILING,FOG,1,2015-03-20 08:09:52.273
FA0000701,438,MAILING,FOG,1,2015-03-20 08:09:52.293
FA0000711,439,MAILING,FOG,1,2015-03-20 08:09:52.300
FA0000717,440,MAILING,FOG,1,2015-03-20 08:09:52.307
FA0000721,441,MAILING,FOG,1,2015-03-20 08:09:52.310
FA0000724,442,MAILING,FOG,1,2015-03-20 08:09:52.317
FA0000725,443,MAILING,FOG,1,2015-03-20 08:09:52.323
FA0000726,444,MAILING,FOG,1,2015-03-20 08:09:52.327
FA0000727,445,MAILING,FOG,1,2015-03-20 08:09:52.333
FA0000728,446,MAILING,FOG,1,2015-03-20 08:09:52.337
FA0000729,447,MAILING,FOG,1,2015-03-20 08:09:52.340
FA0000730,448,MAILING,FOG,1,2015-03-20 08:09:52.343
FA0000731,449,MAILING,FOG,1,2015-03-20 08:09:52.350
FA0000732,450,MAILING,FOG,1,2015-03-20 08:09:52.353
FA0000733,451,MAILING,FOG,1,2015-03-20 08:09:52.360
FA0000734,452,MAILING,FOG,1,2015-03-20 08:09:52.363
FA0000735,453,MAILING,FOG,1,2015-03-20 08:09:52.367
FA0000736,454,MAILING,FOG,1,2015-03-20 08:09:52.370
FA0000737,455,MAILING,FOG,1,2015-03-20 08:09:52.377
FA0000738,456,MAILING,FOG,1,2015-03-20 08:09:52.400
FA0000739,457,MAILING,FOG,1,2015-03-20 08:09:52.403
FA0000740,458,MAILING,FOG,1,2015-03-20 08:09:52.407
FA0000741,459,MAILING,FOG,1,2015-03-20 08:09:52.410
FA0000742,460,MAILING,FOG,1,2015-03-20 08:09:52.413
FA0000743,461,MAILING,FOG,1,2015-03-20 08:09:52.420
FA0000745,462,MAILING,FOG,1,2015-03-20 08:09:52.423
FA0000746,463,MAILING,FOG,1,2015-03-20 08:09:52.427
FA0000747,464,MAILING,FOG,1,2015-03-20 08:09:52.430
FA0000748,465,MAILING,FOG,1,2015-03-20 08:09:52.433
FA0000749,466,MAILING,FOG,1,2015-03-20 08:09:52.440
FA0000751,467,MAILING,FOG,1,2015-03-20 08:09:52.440
FA0000752,468,MAILING,FOG,1,2015-03-20 08:09:52.447
FA0000753,469,MAILING,FOG,1,2015-03-20 08:09:52.450
FA0000754,470,MAILING,FOG,1,2015-03-20 08:09:52.453
FA0000755,471,MAILING,FOG,1,2015-03-20 08:09:52.460
FA0000756,472,MAILING,FOG,1,2015-03-20 08:09:52.463
FA0000757,473,MAILING,FOG,1,2015-03-20 08:09:52.467
FA0000758,474,MAILING,FOG,1,2015-03-20 08:09:52.470
FA0000759,475,MAILING,FOG,1,2015-03-20 08:09:52.473
FA0000761,476,MAILING,FOG,1,2015-03-20 08:09:52.477
FA0000762,477,MAILING,FOG,1,2015-03-20 08:09:52.490
FA0000763,478,MAILING,FOG,1,2015-03-20 08:09:52.493
FA0000764,479,MAILING,FOG,1,2015-03-20 08:09:52.497
FA0000765,480,MAILING,FOG,1,2015-03-20 08:09:52.500
FA0000766,481,MAILING,FOG,1,2015-03-20 08:09:52.507
FA0000767,482,MAILING,FOG,1,2015-03-20 08:09:52.510
FA0000768,483,MAILING,FOG,1,2015-03-20 08:09:52.513
FA0000769,484,MAILING,FOG,1,2015-03-20 08:09:52.523
FA0000770,485,MAILING,FOG,1,2015-03-20 08:09:52.553
FA0000771,486,MAILING,FOG,1,2015-03-20 08:09:52.563
FA0000772,487,MAILING,FOG,1,2015-03-20 08:09:52.570
FA0000773,488,MAILING,FOG,1,2015-03-20 08:09:52.573
FA0000774,489,MAILING,FOG,1,2015-03-20 08:09:52.587
FA0000775,490,MAILING,FOG,1,2015-03-20 08:09:52.590
FA0000776,491,MAILING,FOG,1,2015-03-20 08:09:52.600
FA0000779,492,MAILING,FOG,1,2015-03-20 08:09:52.610
FA0000780,493,MAILING,FOG,1,2015-03-20 08:09:52.613
FA0000781,494,MAILING,FOG,1,2015-03-20 08:09:52.617
FA0000783,495,MAILING,FOG,1,2015-03-20 08:09:52.620
FA0000785,496,MAILING,FOG,1,2015-03-20 08:09:52.627
FA0000786,497,MAILING,FOG,1,2015-03-20 08:09:52.630
FA0000791,498,MAILING,FOG,1,2015-03-20 08:09:52.633
FA0000793,499,MAILING,FOG,1,2015-03-20 08:09:52.637
FA0000796,500,MAILING,FOG,1,2015-03-20 08:09:52.640
FA0000797,501,MAILING,FOG,1,2015-03-20 08:09:52.647
FA0000801,502,MAILING,FOG,1,2015-03-20 08:09:52.650
FA0000802,503,MAILING,FOG,1,2015-03-20 08:09:52.653
FA0000804,504,MAILING,FOG,1,2015-03-20 08:09:52.660
FA0000805,505,MAILING,FOG,1,2015-03-20 08:09:52.663
FA0000807,506,MAILING,FOG,1,2015-03-20 08:09:52.667
FA0000809,507,MAILING,FOG,1,2015-03-20 08:09:52.670
FA0000810,508,MAILING,FOG,1,2015-03-20 08:09:52.673
FA0000811,509,MAILING,FOG,1,2015-03-20 08:09:52.693
FA0000812,510,MAILING,FOG,1,2015-03-20 08:09:52.700
FA0000814,511,MAILING,FOG,1,2015-03-20 08:09:52.703
FA0000815,512,MAILING,FOG,1,2015-03-20 08:09:52.707
FA0000817,513,MAILING,FOG,1,2015-03-20 08:09:52.710
FA0000818,514,MAILING,FOG,1,2015-03-20 08:09:52.717
FA0000820,515,MAILING,FOG,1,2015-03-20 08:09:52.720
FA0000822,516,MAILING,FOG,1,2015-03-20 08:09:52.733
FA0000824,517,MAILING,FOG,1,2015-03-20 08:09:52.750
FA0000827,518,MAILING,FOG,1,2015-03-20 08:09:52.753
FA0000829,519,MAILING,FOG,1,2015-03-20 08:09:52.757
FA0000830,520,MAILING,FOG,1,2015-03-20 08:09:52.760
FA0000831,521,MAILING,FOG,1,2015-03-20 08:09:52.770
FA0000833,522,MAILING,FOG,1,2015-03-20 08:09:52.773
FA0000834,523,MAILING,FOG,1,2015-03-20 08:09:52.790
FA0000835,524,MAILING,FOG,1,2015-03-20 08:09:52.827
FA0000836,525,MAILING,FOG,1,2015-03-20 08:09:52.833
FA0000837,526,MAILING,FOG,1,2015-03-20 08:09:52.837
FA0000842,527,MAILING,FOG,1,2015-03-20 08:09:52.840
FA0000845,528,MAILING,FOG,1,2015-03-20 08:09:52.850
FA0000846,529,MAILING,FOG,1,2015-03-20 08:09:52.853
FA0000847,530,MAILING,FOG,1,2015-03-20 08:09:52.857
FA0000852,532,MAILING,FOG,1,2015-03-20 08:09:52.867
FA0000854,533,MAILING,FOG,1,2015-03-20 08:09:52.873
FA0000856,534,MAILING,FOG,1,2015-03-20 08:09:52.880
FA0000858,536,Operations,FOG,1,2015-03-20 08:09:52.977
FA0000859,537,MAILING,FOG,1,2015-03-20 08:09:52.997
FA0000860,538,MAILING,FOG,1,2015-03-20 08:09:53.000
FA0000870,539,MAILING,FOG,1,2015-03-20 08:09:53.003
FA0000877,540,MAILING,FOG,1,2015-03-20 08:09:53.010
